CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
Animal feed,2020-04-28,2020,Q2,4,28,United States,2020-04-28,23099010,Fish or marine mammal solubles,No,-,No,-,No,-,No,-,567,567,No,-,-,,,,,
Animal or vegetable fats and oils,2020-04-08,2020,Q2,4,8,Ghana,2020-04-07,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,3600,4000,No,-,-,2020-04-17,2020,Q2,4,17
Animal or vegetable fats and oils,2020-04-06,2020,Q2,4,6,Ghana,2020-04-06,15111090,Other than 1511 10 10,No,-,No,-,No,-,No,-,4875,0,No,-,-,,,,,
Animal or vegetable fats and oils,2020-04-07,2020,Q2,4,7,Ghana,2020-04-06,15111090,Other than 1511 10 10,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,No,-,150,175,No,-,-,2020-04-08,2020,Q2,4,8
Animal or vegetable fats and oils,2020-04-22,2020,Q2,4,22,Ghana,2020-04-19,15119011,In immediate packings of a net content not exceeding 1|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,13126,13744,No,-,-,2020-04-30,2020,Q2,4,30
Animal or vegetable fats and oils,2020-04-29,2020,Q2,4,29,Ghana,2020-04-29,15119099,Other,Yes,Satisfactory,No,-,No,-,No,-,5096,5147.2,No,-,-,2020-04-30,2020,Q2,4,30
Cereals,2020-04-17,2020,Q2,4,17,China,2020-03-24,10063063,Medium grain,Yes,Not satisfactory,Yes,Satisfactory,No,-,No,-,3240,3564,Yes,Destruction,Absence of original certificate,2020-05-01,2020,Q2,5,1
Cereals,2020-04-17,2020,Q2,4,17,China,2020-03-24,10063063,Medium grain,Yes,Not satisfactory,Yes,Satisfactory,No,-,No,-,810,891,Yes,Destruction,Absence of original certificate,2020-05-01,2020,Q2,5,1
Cocoa,2020-04-16,2020,Q2,4,16,Turkey,2020-04-21,18063100,Filled,Yes,Satisfactory,No,-,No,-,No,-,509.18,575.28,No,-,-,2020-04-21,2020,Q2,4,21
Cocoa,2020-04-16,2020,Q2,4,16,Turkey,2020-04-21,18063100,Filled,Yes,Satisfactory,No,-,No,-,No,-,1231.2,1453.5,No,-,-,2020-04-21,2020,Q2,4,21
Cocoa,2020-04-16,2020,Q2,4,16,Turkey,2020-04-21,18063100,Filled,Yes,Satisfactory,No,-,No,-,No,-,163.2,190.4,No,-,-,2020-04-21,2020,Q2,4,21
Cocoa,2020-04-16,2020,Q2,4,16,Turkey,2020-04-21,18063100,Filled,Yes,Satisfactory,No,-,No,-,No,-,410.4,484.5,No,-,-,2020-04-21,2020,Q2,4,21
Cocoa,2020-04-16,2020,Q2,4,16,Turkey,2020-04-21,18063100,Filled,Yes,Satisfactory,No,-,No,-,No,-,205.2,242.25,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-22,2020,Q2,4,22,Indonesia,2020-03-17,9081200,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,7500,7608,No,-,-,2020-04-23,2020,Q2,4,23
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,India,2020-03-24,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,30,32,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-07,2020,Q2,4,7,India,2020-03-29,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3150,3360,No,-,-,2020-04-16,2020,Q2,4,16
"Coffee, tea, mate and spices",2020-04-07,2020,Q2,4,7,India,2020-03-29,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1800,1920,No,-,-,2020-04-16,2020,Q2,4,16
"Coffee, tea, mate and spices",2020-04-02,2020,Q2,4,2,United States,2020-04-04,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,291.22,704.49,No,-,-,2020-04-02,2020,Q2,4,2
"Coffee, tea, mate and spices",2020-04-02,2020,Q2,4,2,United States,2020-04-04,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,403.27,704.49,No,-,-,2020-04-02,2020,Q2,4,2
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,India,2020-03-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,6750,6950,No,-,-,2020-04-11,2020,Q2,4,11
"Coffee, tea, mate and spices",2020-04-01,2020,Q2,4,1,India,2020-04-05,9109105,Curry,No,-,No,-,No,-,No,-,1700,1766.35,No,-,-,,,,,
"Coffee, tea, mate and spices",2020-04-02,2020,Q2,4,2,India,2020-04-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2250,2392.5,No,-,-,2020-04-09,2020,Q2,4,9
"Coffee, tea, mate and spices",2020-04-06,2020,Q2,4,6,India,2020-03-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,150,172,No,-,-,2020-04-07,2020,Q2,4,7
"Coffee, tea, mate and spices",2020-04-07,2020,Q2,4,7,China,2020-04-08,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,10000,10120,No,-,-,2020-04-09,2020,Q2,4,9
"Coffee, tea, mate and spices",2020-04-07,2020,Q2,4,7,China,2020-04-08,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-04-09,2020,Q2,4,9
"Coffee, tea, mate and spices",2020-04-07,2020,Q2,4,7,India,2020-03-31,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5680,6248,No,-,-,2020-04-08,2020,Q2,4,8
"Coffee, tea, mate and spices",2020-04-07,2020,Q2,4,7,India,2020-03-31,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,9600,10320,No,-,-,2020-04-08,2020,Q2,4,8
"Coffee, tea, mate and spices",2020-04-07,2020,Q2,4,7,India,2020-03-31,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5400,5715,No,-,-,2020-04-08,2020,Q2,4,8
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,India,2020-03-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5600,5832,No,-,-,2020-04-11,2020,Q2,4,11
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,India,2020-04-11,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,150,200,No,-,-,2020-04-14,2020,Q2,4,14
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,India,2020-03-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,6750,6950,No,-,-,2020-04-11,2020,Q2,4,11
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,India,2020-03-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5600,5832,No,-,-,2020-04-11,2020,Q2,4,11
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,China,2020-04-07,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,4599,6879.5,No,-,-,2020-04-11,2020,Q2,4,11
"Coffee, tea, mate and spices",2020-04-08,2020,Q2,4,8,China,2020-04-07,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,1076,2273.5,No,-,-,2020-04-11,2020,Q2,4,11
"Coffee, tea, mate and spices",2020-04-09,2020,Q2,4,9,India,2020-04-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2080,2101,No,-,-,2020-04-14,2020,Q2,4,14
"Coffee, tea, mate and spices",2020-04-09,2020,Q2,4,9,India,2020-04-09,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,1820,1838,No,-,-,2020-04-14,2020,Q2,4,14
"Coffee, tea, mate and spices",2020-04-09,2020,Q2,4,9,India,2020-04-11,9109110,Neither crushed nor ground,Yes,Satisfactory,No,-,No,-,No,-,1980,2000,No,-,-,2020-04-14,2020,Q2,4,14
"Coffee, tea, mate and spices",2020-04-09,2020,Q2,4,9,India,2020-04-11,9109110,Neither crushed nor ground,Yes,Satisfactory,No,-,No,-,No,-,980,990,No,-,-,2020-04-14,2020,Q2,4,14
"Coffee, tea, mate and spices",2020-04-09,2020,Q2,4,9,China,2020-04-09,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,1840,3387,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-10,2020,Q2,4,10,China,2020-04-10,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,270.72,891,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-14,2020,Q2,4,14,India,2020-04-14,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,12500,12575,No,-,-,2020-04-15,2020,Q2,4,15
"Coffee, tea, mate and spices",2020-04-14,2020,Q2,4,14,India,2020-04-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7340,8074,No,-,-,2020-04-15,2020,Q2,4,15
"Coffee, tea, mate and spices",2020-04-14,2020,Q2,4,14,India,2020-04-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7200,7740,No,-,-,2020-04-15,2020,Q2,4,15
"Coffee, tea, mate and spices",2020-04-14,2020,Q2,4,14,India,2020-04-07,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5700,6033,No,-,-,2020-04-15,2020,Q2,4,15
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-16,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,250,1020,No,-,-,2020-04-22,2020,Q2,4,22
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-11,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,250,255,No,-,-,2020-04-16,2020,Q2,4,16
"Coffee, tea, mate and spices",2020-04-14,2020,Q2,4,14,Sri Lanka,2020-04-01,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,14.9,18.9,No,-,-,2020-04-14,2020,Q2,4,14
"Coffee, tea, mate and spices",2020-04-14,2020,Q2,4,14,India,2020-03-20,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,4000,4044,No,-,-,2020-05-06,2020,Q2,5,6
"Coffee, tea, mate and spices",2020-04-14,2020,Q2,4,14,India,2020-03-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3800,3841.8,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-10,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,4635,9794,No,-,-,2020-04-20,2020,Q2,4,20
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-10,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3240,9794,No,-,-,2020-04-20,2020,Q2,4,20
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-17,9081100,Neither crushed nor ground,Yes,Satisfactory,No,-,No,-,No,-,24,29,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-17,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,198,220,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-17,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,213.6,258.1,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-17,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,546,595,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-17,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1000,1075,No,-,-,2020-04-18,2020,Q2,4,18
"Coffee, tea, mate and spices",2020-04-15,2020,Q2,4,15,United States,2020-04-15,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,1449.68,1459.68,No,-,-,2020-04-17,2020,Q2,4,17
"Coffee, tea, mate and spices",2020-04-15,2020,Q2,4,15,India,2020-04-17,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3375,No,-,-,2020-04-29,2020,Q2,4,29
"Coffee, tea, mate and spices",2020-04-15,2020,Q2,4,15,India,2020-04-17,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5400,5895,No,-,-,2020-04-29,2020,Q2,4,29
"Coffee, tea, mate and spices",2020-04-15,2020,Q2,4,15,India,2020-04-17,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1200,1440,No,-,-,2020-04-29,2020,Q2,4,29
"Coffee, tea, mate and spices",2020-04-15,2020,Q2,4,15,India,2020-04-14,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1600,1608.96,No,-,-,2020-04-16,2020,Q2,4,16
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,China,2020-04-12,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,12960,14040,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,China,2020-04-16,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,15000,15110,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-16,2020,Q2,4,16,India,2020-04-16,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,12500,12575,No,-,-,2020-04-23,2020,Q2,4,23
"Coffee, tea, mate and spices",2020-04-17,2020,Q2,4,17,China,2020-04-18,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,25000,25200,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-21,2020,Q2,4,21,China,2020-04-24,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,1310.51,1320.51,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-17,2020,Q2,4,17,India,2020-04-18,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,6000,6054,No,-,-,2020-05-05,2020,Q2,5,5
"Coffee, tea, mate and spices",2020-04-17,2020,Q2,4,17,India,2020-04-18,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,9000,9081,No,-,-,2020-05-05,2020,Q2,5,5
"Coffee, tea, mate and spices",2020-04-17,2020,Q2,4,17,India,2020-04-18,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,1000,1007.2,No,-,-,2020-05-05,2020,Q2,5,5
"Coffee, tea, mate and spices",2020-04-17,2020,Q2,4,17,India,2020-04-17,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,1500,1533,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-17,2020,Q2,4,17,India,2020-04-17,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,2000,2017,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-17,2020,Q2,4,17,India,2020-04-17,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,400,408,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-22,2020,Q2,4,22,India,2020-04-15,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,144,160,No,-,-,2020-04-27,2020,Q2,4,27
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3380,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3125,3500,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2250,2760,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1000,1100,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-15,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,125,175,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-21,2020,Q2,4,21,China,2020-04-23,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,864,959,No,-,-,2020-04-23,2020,Q2,4,23
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-12,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,112,124,No,-,-,2020-05-05,2020,Q2,5,5
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-22,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,520.25,619,No,-,-,2020-04-24,2020,Q2,4,24
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-22,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,20.2,619,No,-,-,2020-04-24,2020,Q2,4,24
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-28,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,10000,10500,No,-,-,2020-04-27,2020,Q2,4,27
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-25,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,1000,11760,No,-,-,2020-04-24,2020,Q2,4,24
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-04-23,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3300,3718,No,-,-,2020-05-07,2020,Q2,5,7
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-04-23,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4500,4820,No,-,-,2020-05-07,2020,Q2,5,7
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-04-23,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4800,5080,No,-,-,2020-05-07,2020,Q2,5,7
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-04-23,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1250,1258,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-03-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,600,825,No,-,-,2020-05-15,2020,Q2,5,15
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-03-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2700,3488,No,-,-,2020-05-15,2020,Q2,5,15
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-04-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,9000,9720,No,-,-,2020-05-01,2020,Q2,5,1
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-04-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5400,6048,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,India,2020-04-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1500,1838,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-04-27,2020,Q2,4,27
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-27,2020,Q2,4,27,India,2020-04-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,270,345,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,India,2020-04-28,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1000,1011.2,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,India,2020-04-28,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,17000,17190.4,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-05-06,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,22000,22280,No,-,-,2020-05-14,2020,Q2,5,14
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,India,2020-04-28,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3645,3713.04,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-04-29,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,22440,22748,No,-,-,2020-05-06,2020,Q2,5,6
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-04-29,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,20000,20300,No,-,-,2020-05-14,2020,Q2,5,14
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,Viet Nam,2020-04-29,9081200,Crushed or ground,No,-,No,-,No,-,No,-,11625,12250,No,-,-,,,,,
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-04-29,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,10000,10150,No,-,-,2020-05-21,2020,Q2,5,21
